GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,35,0,0,0,10,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,5,43,1,3,2,16,1,7,0,6
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,96,112,2,2,14,24,4,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,28,0,0,0,8,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,0,8,0,0,0,3,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,84,0,0,0,12,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,114,0,0,0,14,0,17,0,17
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,270,0,0,0,15,0,45,0,45
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,285,0,0,0,16,0,47,0,47
spring-boot-skeleton,com.nnk.springboot.domain,User,0,72,0,0,0,21,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,93,0,0,0,11,0,15,0,15
